S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Page
1119.,Abril Paper,39.44,19.20,31.48,0.00,1.07,27.38,38.03,14.48,20.04,45
1120.,Vadilal Enterp.,9846.00,227.62,846.76,0.02,10.69,179.11,264.39,7.48,20.03,45
1121.,Saint-Gob. Sekur,98.05,21.49,893.33,2.04,10.77,30.23,60.39,16.99,20.03,45
1122.,TCPL Packaging,2644.80,19.32,2406.77,1.13,28.33,-20.89,437.70,-0.18,20.03,45
1123.,Marksans Pharma,163.27,21.04,7398.80,0.49,99.14,1.58,720.41,12.23,20.03,45
1124.,Zodiac Energy,258.40,19.04,390.80,0.29,2.68,7.63,96.78,83.40,20.02,45
1125.,Assoc.Alcohols,791.05,17.44,1501.35,0.25,14.01,-8.55,253.84,-0.31,20.01,45
1126.,J.G.Chemicals,309.05,19.38,1211.05,0.32,15.03,-12.84,220.28,3.87,20.00,46
1127.,J Kumar Infra,557.65,10.34,4219.49,0.72,91.46,1.44,1336.97,3.45,19.98,46
1128.,Sirca Paints,459.95,45.09,2612.18,0.33,18.10,36.30,131.17,24.38,19.98,46
1129.,Tata Motors PVeh,344.45,9.39,126837.90,1.74,76248.00,-214.83,72349.00,-13.52,19.97,46
1130.,Choice Intl.,760.05,93.38,16932.13,0.00,56.46,20.12,274.43,10.93,19.95,46
1131.,Subros,745.15,30.25,4861.04,0.35,40.74,11.86,879.83,6.22,19.95,46
1132.,Narmada Gelatine,336.05,9.64,203.30,2.98,6.48,69.19,51.21,6.89,19.92,46
1133.,Acutaas Chemical,1653.40,60.44,13536.57,0.09,71.86,93.52,306.20,24.10,19.92,46
1134.,Tunwal E-Motors,30.95,11.92,178.56,0.32,8.50,57.99,144.39,93.99,19.92,46
1135.,E to E Transportation,225.65,27.10,389.42,0.00,,,,,19.90,46
1136.,AGI Greenpac,659.45,12.12,4266.47,1.06,76.12,5.60,601.58,0.40,19.89,46
1137.,Golkunda Diamond,200.05,10.28,139.23,0.75,3.18,202.86,80.94,42.42,19.88,46
1138.,NILE,1375.25,8.89,412.58,0.36,11.60,38.59,273.99,8.86,19.87,46
1139.,L G Balakrishnan,1730.00,18.18,5517.39,1.16,93.65,24.00,787.02,19.08,19.86,46
1140.,Khyati Global,45.65,6.41,31.86,0.00,2.88,8.68,62.70,7.25,19.86,46
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,46
1141.,TPL Plastech,63.20,18.90,492.98,1.58,6.85,27.80,106.87,20.15,19.85,46
1142.,IFB Industries,1351.20,41.57,5475.06,0.00,24.51,-0.12,1375.13,11.99,19.85,46
1143.,Power & Instrum.,102.99,13.95,185.62,0.19,4.74,21.85,70.27,27.93,19.85,46
1144.,K P R Mill Ltd,848.90,34.65,29016.59,0.59,218.03,6.36,1632.03,10.27,19.84,46
1145.,GNG Electronics,252.00,36.63,2873.09,0.00,32.66,41.63,439.92,24.75,19.84,46
1146.,Wendt India,6637.50,59.40,1327.50,0.75,2.98,-63.75,60.79,13.84,19.81,46
1147.,R R Kabel,1351.60,37.86,15286.74,0.44,116.26,134.73,2163.77,19.54,19.77,46
1148.,Axtel Industries,420.40,33.89,679.15,2.62,10.12,71.53,67.34,20.59,19.76,46
1149.,Transvoy Logist.,102.70,9.60,27.35,0.00,1.25,190.70,28.97,109.32,19.75,46
1150.,Global Health,1030.00,46.31,27685.41,0.05,158.40,21.09,1099.22,14.91,19.74,46
1151.,Holmarc Opto,93.00,34.88,93.47,0.43,0.25,-85.48,16.18,-4.88,19.73,47
1152.,Astral,1383.90,73.00,37178.50,0.27,134.80,22.55,1577.40,15.11,19.71,47
1153.,Gem Enviro,45.90,21.04,103.51,0.54,3.42,-25.49,54.82,147.05,19.71,47
1154.,Va Tech Wabag,1061.10,20.64,6610.36,0.38,84.80,20.11,834.50,19.16,19.70,47
1155.,Rajeshwari Cans,31.69,15.32,33.25,0.00,1.31,23.58,22.42,14.10,19.70,47
1156.,Interactive Fin,15.90,6.23,11.02,0.00,1.11,27.59,2.12,18.44,19.69,47
1157.,Divine Hira Jew.,234.40,49.49,305.82,0.00,3.12,24.80,500.46,268.04,19.69,47
1158.,Resgen,57.70,14.81,121.03,0.00,4.03,4.95,37.87,47.41,19.68,47
1159.,Constronics,53.00,15.09,66.40,0.00,1.42,16.39,19.68,42.51,19.67,47
1160.,Shree OSFM,76.00,11.21,117.07,0.00,4.87,1.88,75.60,11.23,19.67,47
1161.,Stallion India,197.40,34.92,1565.88,0.00,11.42,1243.53,105.56,56.25,19.67,47
1162.,Bharat Dynamics,1408.00,78.90,51612.00,0.33,215.88,76.19,1147.03,110.55,19.66,47
1163.,Remus Pharma.,656.30,23.08,773.38,0.15,21.59,24.91,400.20,46.77,19.64,47
1164.,Prakash Steelage,4.74,58.83,82.95,0.00,0.09,-67.86,25.06,30.18,19.63,47
1165.,Menon Bearings,121.99,22.00,683.63,1.64,9.25,69.10,76.91,31.72,19.63,47
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,47
1166.,Alphalogic Indu,149.45,41.61,152.28,0.00,2.57,40.44,24.91,-36.94,19.62,47
1167.,Federal-Mogul Go,422.45,13.00,2350.09,0.00,51.31,28.71,490.50,5.78,19.60,47
1168.,MKP Mobility,131.00,31.46,44.68,0.00,0.58,,8.62,6.29,19.60,47
1169.,Highway Infra,50.75,12.67,363.98,0.00,9.60,3592.31,88.01,-9.05,19.59,47
1170.,Afcons Infrastr.,340.40,24.93,12519.39,0.73,105.08,-22.42,2988.39,0.97,19.59,47
1171.,Kamat Hotels,204.51,16.08,602.90,0.00,-2.19,-140.24,75.13,-12.01,19.58,47
1172.,Pasari Spinning,6.71,23.15,9.26,0.00,0.09,-18.18,0.15,-11.76,19.55,47
1173.,Nettlinx,17.56,7.93,42.45,0.00,-5.28,-225.86,5.33,-26.58,19.53,47
1174.,Arih.Found.Hsg.,1051.10,17.75,1047.49,0.00,20.05,89.87,87.80,81.82,19.52,47
1175.,Shaily Engineer.,1890.30,59.43,8686.89,0.11,51.25,133.80,256.65,33.67,19.52,47
1176.,Wipro,238.40,18.85,250014.81,4.61,3145.00,-7.00,23555.80,5.54,19.51,48
1177.,Indigo Paints,1047.50,34.38,4994.03,0.33,25.53,5.85,298.50,3.45,19.51,48
1178.,Gujarat Gas,404.95,23.99,27876.36,1.44,266.84,20.75,3658.41,-11.91,19.50,48
1179.,V-Guard Industri,311.00,46.72,13570.32,0.48,65.29,3.00,1340.92,3.63,19.50,48
1180.,VTM,56.68,15.29,570.03,1.50,2.32,-76.25,89.88,22.84,19.49,48
1181.,Rockingdeals Cir,195.05,22.02,161.87,0.00,5.10,59.38,49.53,131.88,19.49,48
1182.,Aditya Infotech,1395.00,83.30,16397.53,0.00,69.98,196.78,919.64,37.48,19.49,48
1183.,Autoriders Intl.,610.70,25.07,212.57,0.03,2.39,-10.82,24.64,11.64,19.48,48
1184.,Kaka Industries,193.50,17.39,264.32,0.00,8.85,35.74,124.89,30.84,19.48,48
1185.,Grand Continent,141.15,52.34,351.74,0.00,2.39,-62.86,55.71,74.97,19.48,48
1186.,Toss The Coin,285.00,35.44,53.87,0.88,1.43,23.28,6.89,58.03,19.47,48
1187.,Cybertech Sys.,126.60,11.11,394.11,3.16,8.66,-3.13,58.79,1.45,19.45,48
1188.,Delton Cables,473.20,22.23,408.84,0.42,6.29,220.92,241.34,37.97,19.44,48
1189.,Hitachi Energy,16501.00,102.55,73548.86,0.04,264.36,405.57,1832.55,17.94,19.44,48
1190.,SP Refractories,149.40,8.05,26.74,0.00,2.20,126.80,16.30,13.12,19.43,48
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,48
1191.,Gem Aromatics,150.58,19.19,786.59,0.00,-2.58,-126.49,89.53,-20.22,19.43,48
1192.,AVI Polymers,16.78,2.25,6.86,0.00,2.29,5625.00,29.50,294900.00,19.42,48
1193.,Metro Brands,1021.30,78.27,27826.26,0.54,68.98,-2.67,651.14,11.22,19.42,48
1194.,Matrimony.com,567.80,35.69,1224.37,0.88,7.76,-41.03,114.59,-0.79,19.41,48
1195.,P N Gadgil Jewe.,557.55,25.50,7566.42,0.00,79.31,127.12,2177.62,8.81,19.41,48
1196.,Glenmark Pharma.,1967.70,22.09,55528.65,0.13,610.43,333.45,6046.87,76.10,19.40,48
1197.,Shivalic Power,91.90,19.93,221.62,0.00,5.16,-20.12,54.22,1.33,19.39,48
1198.,Ceigall India,274.85,18.52,4788.02,0.00,56.16,-13.86,806.57,4.45,19.38,48
1199.,Jindal Saw,177.72,10.10,11365.34,1.13,247.62,-49.06,4943.41,-6.22,19.37,48
1200.,Nila Infrastruct,8.89,15.19,350.17,0.00,6.08,16.03,74.04,85.98,19.36,48
1201.,PG Electroplast,510.35,57.21,14561.24,0.05,2.76,-85.72,655.37,-2.37,19.36,49
1202.,Anlon Tech,383.20,25.61,239.71,0.00,5.42,112.55,41.38,117.10,19.34,49
1203.,Talbros Auto.,246.35,15.89,1520.67,0.28,23.10,-1.32,213.15,-1.04,19.31,49
1204.,ASM Technologies,2882.15,75.89,4204.09,0.14,19.12,568.53,154.46,171.27,19.30,49
1205.,P S Raj Steels,295.00,29.65,222.38,0.00,3.96,2.33,130.58,-6.13,19.30,49
1206.,Dolphin Kitchen Utensils,25.65,6.11,34.01,0.00,3.54,110.71,24.87,8.98,19.27,49
1207.,ATC Energies,32.00,10.49,65.24,0.00,0.61,-89.43,12.89,-42.69,19.27,49
1208.,All Time Plastic,227.70,39.12,1491.61,0.00,4.22,-68.55,147.40,12.48,19.23,49
1209.,H P Cotton Tex,106.00,14.24,41.57,0.00,0.79,-4.82,34.45,2.10,19.22,49
1210.,Genus Power,256.70,16.52,7809.27,0.95,148.15,162.44,1149.00,135.99,19.21,49
1211.,Godrej Consumer,1240.40,65.33,126923.26,1.61,497.91,11.97,4099.12,8.78,19.21,49
1212.,Shree Ganesh Rem,423.05,29.99,543.10,0.00,3.10,-42.91,21.11,-21.96,19.21,49
1213.,Gallantt Ispat L,535.70,26.23,12925.42,0.23,88.93,81.90,1012.75,7.45,19.20,49
1214.,MOS Utility,21.85,36.08,562.51,0.00,9.26,54.33,315.81,2.46,19.20,49
1215.,Laxmi Dental,207.70,44.32,1141.56,0.00,8.53,44.82,72.27,26.52,19.20,49
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,49
1216.,L T Foods,345.90,18.88,12011.48,0.87,163.85,10.42,2765.74,31.22,19.18,49
1217.,Nupur Recyclers,51.43,28.13,355.22,0.00,4.33,-18.70,48.76,-4.73,19.17,49
1218.,Happy Forgings,1022.20,35.53,9642.20,0.29,73.44,2.81,377.39,4.50,19.17,49
1219.,20 Microns,179.01,9.74,631.66,0.70,14.87,11.35,214.82,0.08,19.16,49
1220.,Titan Company,4021.80,86.47,357049.84,0.27,1120.00,59.09,18725.00,28.84,19.14,49
1221.,Aditya Vision,481.75,57.56,6221.23,0.23,12.72,4.18,457.50,21.72,19.13,49
1222.,Rukmani Devi Gar,108.00,12.66,95.86,0.00,4.63,,302.11,,19.13,49
1223.,Namo eWaste,176.90,40.01,404.53,0.00,6.99,30.90,87.32,30.66,19.08,49
1224.,Credo Brands,87.82,10.02,574.08,3.42,18.87,-28.68,163.73,-11.77,19.07,49
1225.,Bajaj Consumer,305.80,25.35,3994.31,0.00,46.37,83.21,306.09,30.58,19.06,49
1226.,Foce India,1745.00,63.96,853.82,0.00,5.81,-15.31,58.62,71.81,19.06,50
1227.,Covidh Technolog,23.21,130.13,19.52,0.00,0.01,200.00,0.00,,19.05,50
1228.,Arvind SmartSp.,522.35,25.97,2395.86,1.15,18.07,-65.15,140.51,-47.09,19.05,50
1229.,Kakatiya Textile,11.00,37.59,6.39,0.00,-0.74,-64.44,4.26,622.03,19.03,50
1230.,HEC Infra Proj.,111.13,11.30,120.44,0.00,2.23,81.30,40.50,102.10,19.03,50
1231.,Roto Pumps,57.52,37.26,1083.94,1.39,5.96,-47.81,64.76,-23.44,19.03,50
1232.,Lumax Auto Tech.,1377.60,44.40,9389.41,0.40,77.55,55.90,1156.36,37.29,19.02,50
1233.,Prime Fresh,279.10,40.25,381.21,0.00,6.00,6.18,119.75,22.22,19.01,50
1234.,Crompton Gr. Con,225.30,29.80,14507.40,1.33,75.42,-31.79,1915.57,1.02,19.01,50
1235.,Viram Suvarn,8.16,12.93,92.58,0.61,3.18,341.67,7.52,102.70,19.00,50
1236.,Black Rose Indus,89.01,22.30,453.95,1.18,4.43,-4.53,83.98,-9.75,18.97,50
1237.,Ganesh Consumer,194.58,21.21,786.36,1.28,11.12,17.30,238.66,7.15,18.97,50
1238.,Dhara Rail Pro.,125.00,39.12,188.55,0.00,7.06,,28.37,,18.97,50
1239.,Anantam Highways,103.67,5.49,2254.82,0.00,-1.59,,0.00,,18.96,50
1240.,AIA Engineering,3729.90,30.89,34807.56,0.43,277.48,8.07,1047.76,0.34,18.92,50
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,50
1241.,Sayaji (Indore),854.00,23.78,260.18,0.09,0.18,1000.00,21.06,-3.97,18.91,50
1242.,Redington,250.70,14.35,19599.08,2.71,350.20,32.42,29075.61,16.79,18.90,50
1243.,Crown Lifters,112.52,11.65,126.29,0.00,2.20,3.29,9.53,26.06,18.88,50
1244.,Markolines Pavem,133.70,11.37,294.69,1.12,7.78,75.62,150.39,42.06,18.88,50
1245.,Gothi Plascon,40.00,23.45,40.80,5.00,0.81,37.29,1.49,40.57,18.85,50
1246.,Kaushalya,44.65,6.61,82.74,0.00,6.79,10.77,1286.30,171.45,18.85,50
1247.,N R Vandana,53.05,11.93,123.58,0.00,5.76,46.19,130.58,2.79,18.85,50
1248.,Geojit Fin. Ser.,68.29,19.21,1906.12,2.20,13.98,-49.67,160.11,-6.74,18.84,50
1249.,Uno Minda,1134.10,59.85,65443.42,0.20,322.79,27.14,4814.03,13.41,18.83,50
1250.,Kewal Kir.Cloth.,457.10,22.69,2816.89,0.44,42.55,-34.00,287.84,13.69,18.79,50
1251.,Star Delta Trans,438.80,11.50,131.65,0.00,3.97,39.30,43.61,18.41,18.77,51
1252.,MOIL,332.65,22.47,6768.94,1.69,70.44,40.99,348.05,19.24,18.76,51
1253.,Radix Industries,172.05,85.78,258.20,0.29,0.71,69.05,12.09,-9.30,18.76,51
1254.,Usha Martin,408.85,29.53,12459.37,0.73,109.80,16.20,907.56,1.84,18.75,51
1255.,Brisk Technovisi,78.00,27.86,15.60,3.85,0.42,-49.40,15.84,26.22,18.75,51
1256.,Vidhi Specialty,318.00,32.99,1588.25,1.57,10.70,2.98,74.99,-17.86,18.73,51
1257.,CG-VAK Software,209.45,9.29,105.78,0.48,3.46,44.17,18.28,-5.87,18.73,51
1258.,B C C Fuba India,148.50,48.17,227.35,0.00,1.45,57.61,17.01,50.40,18.72,51
1259.,Astra Microwave,909.85,53.63,8638.57,0.24,23.90,-5.87,214.59,-6.54,18.72,51
1260.,Medi Assist Ser.,420.30,38.45,3129.46,0.00,8.07,-62.12,232.55,28.64,18.72,51
1261.,Ruchira Papers,115.12,5.09,343.58,4.34,15.60,-11.71,166.68,0.75,18.71,51
1262.,Indo Borax & Ch.,243.80,19.94,782.35,0.41,9.27,2.21,41.02,9.36,18.71,51
1263.,Thomas Cook (I),123.89,24.10,5827.54,0.36,70.75,-21.45,2073.84,3.50,18.69,51
1264.,SM Auto Stamping,22.99,8.65,31.47,0.00,0.79,203.85,34.12,10.46,18.69,51
1265.,Rainbow Child.,1185.60,47.45,12040.85,0.25,75.62,-4.59,444.80,6.55,18.69,51
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,51
1266.,CHL,32.58,,178.60,0.00,-12.04,-430.40,31.65,-7.75,18.68,51
1267.,Arabian Petrol.,67.60,6.64,73.63,0.00,6.05,30.39,175.17,25.98,18.68,51
1268.,Motil.Oswal.Fin.,751.00,22.30,45144.95,0.67,362.56,-67.64,1849.11,-34.91,18.67,51
1269.,Safari Inds.,1981.60,58.43,9708.31,0.15,46.94,58.26,533.55,16.55,18.67,51
1270.,Alkyl Amines,1562.30,43.86,7990.24,0.64,42.94,-9.52,389.41,-6.14,18.66,51
1271.,Neuland Labs.,13251.00,86.83,17000.89,0.09,96.85,194.91,514.27,65.45,18.66,51
1272.,Modi Naturals,339.85,12.38,452.22,0.00,10.07,32.85,146.99,0.29,18.66,51
1273.,Ashapura Minech.,681.60,16.34,6511.06,0.15,105.98,117.93,952.50,57.67,18.64,51
1274.,Aaron Industries,155.53,46.54,325.78,0.39,1.39,-23.63,22.24,21.60,18.62,51
1275.,Syncom Formul.,11.94,17.87,1122.36,0.00,16.84,53.79,121.44,19.66,18.59,51
1276.,Laxmipati Engg,310.00,19.19,178.25,0.00,2.88,3100.00,28.61,21.02,18.57,52
1277.,TBI Corn,78.75,8.74,143.00,0.00,10.25,36.30,136.70,45.46,18.57,52
1278.,Multibase India,218.00,23.70,275.12,24.31,2.86,-33.33,18.53,0.60,18.56,52
1279.,Tech Mahindra,1701.10,34.66,166660.40,2.65,1118.60,32.95,14393.20,8.34,18.56,52
1280.,Platinum Industr,233.66,30.06,1283.37,0.00,10.98,-16.19,98.38,-1.26,18.55,52
1281.,Mewar Hi-Tech,68.08,8.60,26.58,0.00,0.25,158.14,15.78,-16.15,18.54,52
1282.,Sodhani Academy,222.80,32.37,126.88,0.22,2.04,3.55,2.07,213.64,18.54,52
1283.,Spinaroo Comm.,34.68,19.25,24.26,0.00,0.44,-27.87,19.37,-7.85,18.54,52
1284.,Dhariwalcorp,392.70,88.77,351.52,0.00,3.09,15.30,118.66,-1.34,18.53,52
1285.,Touchwood Enter.,95.10,16.44,105.38,0.00,0.42,16.67,5.63,42.53,18.51,52
1286.,Ahluwalia Contr.,830.95,21.20,5566.33,0.07,78.57,104.82,1177.30,16.39,18.47,52
1287.,Control Print,680.20,10.88,1087.93,1.47,18.59,35.34,111.96,9.99,18.46,52
1288.,Trom Industries,69.45,13.11,63.86,0.00,4.39,6.30,40.13,-13.21,18.46,52
1289.,Emerald Finance,73.52,18.89,253.94,0.20,4.00,61.29,7.80,36.36,18.45,52
1290.,Vaidya Sane,234.00,27.33,246.01,0.00,4.83,28.46,49.94,19.47,18.45,52
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,52
1291.,A B Infrabuild,17.99,58.60,1149.18,0.03,2.13,-43.58,37.30,-21.02,18.43,52
1292.,Honeywell Auto,31375.00,53.74,27735.50,0.33,119.50,3.82,1149.40,12.26,18.40,52
1293.,Kwality Pharma,1109.85,23.47,1151.60,0.00,14.12,66.71,111.05,23.35,18.40,52
1294.,LKP Securities,13.97,9.89,114.48,2.15,2.69,-40.88,26.69,-21.04,18.40,52
1295.,Macobs Technolo.,207.00,92.58,202.76,0.00,1.42,-22.83,19.16,15.77,18.39,52
1296.,Aries Agro,300.55,10.30,390.85,0.40,19.92,6.04,204.32,5.50,18.38,52
1297.,Guj. Containers,165.30,13.55,93.39,0.91,1.36,-29.90,36.66,-4.36,18.36,52
1298.,Dhanuka Infra Realty,19.90,6.64,18.98,0.00,0.18,128.57,0.63,61.54,18.36,52
1299.,Vraj Iron,121.58,11.94,401.00,0.00,7.75,-24.68,132.98,51.89,18.36,52
1300.,Par Drugs & Che.,90.12,11.44,110.89,0.00,4.13,-51.98,28.66,-17.31,18.35,52
1301.,Gowra Leasing,90.05,12.01,69.77,0.00,1.19,108.77,2.87,226.14,18.34,53
1302.,Rolcon Engg. Co.,637.85,14.30,48.48,0.39,1.14,-30.06,13.62,-5.94,18.33,53
1303.,Morgan Ventures,68.24,2.95,67.56,0.00,5.91,7.45,13.96,11.24,18.33,53
1304.,Indo Amines,112.57,11.65,817.12,0.44,18.11,31.33,277.05,2.90,18.32,53
1305.,Century Extrus.,21.53,16.82,172.24,0.00,2.76,15.97,109.66,2.97,18.30,53
1306.,Womancart,229.80,20.55,185.54,0.00,5.31,69.17,49.80,126.78,18.29,53
1307.,Abha Power,33.75,12.06,62.73,0.00,2.03,-33.66,34.57,0.49,18.29,53
1308.,Ellen.Indl.Gas,249.80,40.33,3520.57,0.00,36.72,23.84,89.17,-5.85,18.23,53
1309.,Storage Tech,56.60,78.14,72.67,0.53,-1.55,-225.00,47.05,7.86,18.23,53
1310.,Steel City Sec.,85.08,8.57,128.53,4.70,3.13,-39.11,15.43,-16.73,18.20,53
1311.,Cantabil Retail,277.30,29.61,2319.28,0.36,6.75,3.05,175.98,16.46,18.17,53
1312.,Welspun Enterp,467.10,17.67,6465.31,0.64,98.08,26.70,783.92,-3.85,18.17,53
1313.,Jindal Stain.,745.95,20.81,61497.58,0.40,827.78,30.02,10517.55,6.16,18.16,53
1314.,Bikaji Foods,650.90,75.52,16311.08,0.15,77.68,19.72,830.30,15.13,18.16,53
1315.,Mrs Bectors,221.90,49.99,6812.12,0.54,36.51,-6.24,551.42,11.11,18.14,53
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,53
1316.,G M Breweries,947.30,13.26,2164.29,0.79,42.01,91.22,202.14,21.89,18.13,53
1317.,Wonder Electric.,139.88,103.62,1874.50,0.21,0.26,-49.02,95.23,-26.51,18.12,53
1318.,Trident Lifeline,298.65,18.39,356.38,0.00,4.64,54.12,25.71,117.33,18.12,53
1319.,K2 Infragen,61.25,5.30,77.29,0.00,7.23,68.53,90.85,76.48,18.09,53
1320.,Swaraj Suiting,239.35,12.74,527.01,0.00,17.91,80.91,204.17,26.41,18.08,53
1321.,Rajputana Indu.,73.50,16.99,163.28,0.00,5.41,32.92,332.87,29.40,18.08,53
1322.,Aurionpro Sol.,915.00,24.87,5056.44,0.44,55.86,20.59,357.67,28.53,18.07,53
1323.,Vishnu Chemicals,507.40,24.67,3415.58,0.06,32.88,43.96,401.15,16.67,18.07,53
1324.,Unjha Formul.,21.52,9.45,9.64,0.00,0.82,845.45,4.29,13.49,18.06,53
1325.,BASF India,3637.40,40.93,15744.72,0.55,101.05,-21.02,3904.04,-8.09,18.02,53
1326.,Capacit'e Infra.,216.00,9.17,1827.45,0.00,51.06,10.09,646.16,24.75,18.01,54
1327.,WSFX Global,57.18,23.04,71.90,2.62,3.67,16.88,34.96,34.98,18.00,54
1328.,M B Agro Prod.,408.25,34.17,3577.37,0.12,31.76,77.43,612.39,115.84,18.00,54
1329.,Saven Tech.,41.77,13.52,45.44,3.59,0.77,13.24,4.71,38.53,17.99,54
1330.,Sungarner Energ.,186.00,23.19,43.13,0.00,1.02,15.91,25.27,115.61,17.99,54
1331.,KEC International,634.95,24.74,16902.37,0.87,160.75,88.21,6091.56,19.13,17.98,54
1332.,Som Distilleries,89.91,18.06,1869.24,0.00,19.50,4.28,269.59,-6.95,17.98,54
1333.,Avenue Super.,3665.60,83.26,238532.71,0.00,855.78,18.27,18100.88,13.32,17.95,54
1334.,Jupiter Life Lin,1321.40,43.65,8663.89,0.08,57.47,11.04,393.63,17.48,17.95,54
1335.,R S Software (I),39.07,,100.92,0.64,-8.44,-626.88,5.35,-57.81,17.94,54
1336.,Praj Industries,283.55,49.39,5212.02,2.12,19.28,-64.18,841.63,3.12,17.92,54
1337.,Orient Electric,178.37,41.16,3805.81,0.84,25.98,16.38,906.45,10.97,17.89,54
1338.,Iris Clothings,31.09,43.51,591.74,0.00,4.12,7.29,44.32,7.42,17.89,54
1339.,B.R.Goyal Infra.,106.15,7.48,252.90,0.00,16.20,163.98,342.13,60.73,17.89,54
1340.,Esconet,121.40,25.92,160.20,0.00,1.49,-32.27,142.02,35.77,17.85,54
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,54
1341.,Chavda Infra Ltd,116.95,14.61,288.35,0.00,7.92,-14.75,103.74,-9.70,17.84,54
1342.,Suraksha Diagno.,261.70,42.69,1362.95,0.00,8.83,-13.06,78.73,17.95,17.84,54
1343.,Shree Refrigerat,170.70,98.74,608.21,0.00,1.48,-82.19,50.39,-1.12,17.83,54
1344.,BDH Industries,387.20,22.87,223.03,1.16,2.62,8.71,18.96,16.82,17.82,54
1345.,Sona BLW Precis.,456.10,43.47,28356.69,0.70,150.16,16.27,1199.76,38.24,17.82,54
1346.,Tega Inds.,1744.80,55.44,13108.28,0.11,44.94,522.44,405.35,14.73,17.80,54
1347.,RDB Rasayans,173.20,9.36,306.82,0.00,11.10,83.77,34.09,11.73,17.77,54
1348.,Ritesh Intl.,60.93,11.09,52.10,0.00,1.06,412.50,38.74,49.52,17.76,54
1349.,Jeyyam Global,47.25,9.56,224.42,0.00,10.93,14.57,380.67,1.40,17.75,54
1350.,Route Mobile,600.40,12.89,3782.71,1.83,-18.83,-12.82,1119.42,0.54,17.74,54
1351.,Oberoi Realty,1453.90,23.44,52864.13,0.55,622.64,3.55,1492.64,5.78,17.73,55
1352.,Manoj Ceramic,83.00,9.31,113.77,0.00,5.53,34.88,81.49,23.28,17.73,55
1353.,Galaxy Medicare,18.50,7.63,28.07,1.89,2.02,18.13,18.73,8.64,17.72,55
1354.,Raghuvir Synth,105.40,37.10,408.43,0.00,2.33,-44.39,99.40,18.56,17.71,55
1355.,Maruti Interior,220.55,56.73,333.03,0.00,2.68,65.43,32.14,76.59,17.69,55
1356.,Northern Spirits,139.60,8.53,224.07,0.21,7.59,35.54,562.68,15.44,17.68,55
1357.,Sh. Hari Chem.,117.00,14.24,64.79,0.00,3.54,58.04,74.49,105.32,17.66,55
1358.,Jonjua Overseas,5.62,5.68,15.33,1.58,1.11,27.59,3.31,17.38,17.66,55
1359.,Bhagwati Auto,522.60,14.33,150.51,0.48,3.61,852.08,42.70,21.93,17.64,55
1360.,Voltas,1315.40,79.44,43524.58,0.53,31.50,-74.41,2347.32,-10.38,17.64,55
1361.,Phantom Digital,207.60,10.13,330.56,0.00,20.69,150.18,84.98,139.11,17.61,55
1362.,JSL Industries,995.45,54.10,116.85,0.00,0.96,-40.00,13.18,7.59,17.60,55
1363.,Agarwal Float,31.50,9.16,22.82,0.00,1.45,-28.57,38.21,17.64,17.60,55
1364.,Panasonic Energy,319.75,37.77,239.81,2.95,1.92,-52.48,68.64,0.00,17.59,55
1365.,Ganesh Benzopl.,73.41,6.30,528.47,0.00,23.76,0.18,99.00,1.40,17.56,55
